Designator,Mid X,Mid Y,Rotation,Layer
C1,0.0000mm,0.9525mm,0.0000,Top
C2,0.0000mm,-0.1588mm,0.0000,Top
C3,-0.7937mm,10.1600mm,-90.0000,Top
C4,-0.2387mm,12.1437mm,180.0000,Top
C5,-0.2387mm,13.5725mm,180.0000,Top
C6,1.7462mm,13.6525mm,90.0000,Top
C7,5.0800mm,13.6525mm,90.0000,Top
C8,-4.9212mm,3.1750mm,180.0000,Top
C9,7.4612mm,13.6525mm,90.0000,Top
C10,6.3500mm,0.4762mm,-90.0000,Top
C11,7.4612mm,0.4762mm,90.0000,Top
C12,9.2075mm,13.6525mm,90.0000,Top
C13,10.7950mm,0.4762mm,-90.0000,Top
C14,14.2875mm,0.4762mm,-90.0000,Top
C15,14.6050mm,13.9700mm,0.0000,Top
C16,14.6050mm,12.5412mm,0.0000,Top
C17,12.0625mm,-1.3995mm,-90.0000,Top
C18,13.1737mm,-1.3995mm,-90.0000,Top
C19,-13.9137mm,16.0337mm,0.0000,Bottom
C20,-13.9096mm,3.3730mm,0.0000,Bottom
C21,-13.9137mm,18.0975mm,0.0000,Bottom
C22,-13.9096mm,5.4842mm,0.0000,Bottom
C23,-13.9096mm,-0.8494mm,0.0000,Bottom
C24,-13.9096mm,1.2618mm,0.0000,Bottom
C25,-13.9096mm,11.8178mm,0.0000,Bottom
C26,-13.9096mm,13.9290mm,0.0000,Bottom
C27,-13.9096mm,7.5954mm,0.0000,Bottom
C28,-13.9096mm,9.7066mm,0.0000,Bottom
C29,-4.9212mm,0.9525mm,0.0000,Top
C30,-4.9212mm,-5.0800mm,0.0000,Top
C31,-13.8338mm,-6.7462mm,180.0000,Bottom
C32,-7.1437mm,-3.9688mm,90.0000,Top
C33,-8.5725mm,27.1462mm,90.0000,Top
C34,-1.5875mm,27.1462mm,90.0000,Top
C35,5.3975mm,27.1462mm,90.0000,Top
C36,-5.1600mm,20.2637mm,-90.0000,Top
C37,1.7462mm,20.4787mm,-90.0000,Top
C38,8.7312mm,20.4787mm,-90.0000,Top
C39,-11.9062mm,25.0825mm,180.0000,Top
C40,-1.1112mm,10.4775mm,180.0000,Bottom
C41,-14.6050mm,-6.3500mm,90.0000,Top
C42,-7.1437mm,-6.3500mm,90.0000,Top
C43,-10.7162mm,-15.6375mm,0.0000,Top
C44,-15.5575mm,-6.3500mm,-90.0000,Top
C45,0.3175mm,-14.2875mm,90.0000,Top
C46,1.0181mm,-2.2906mm,0.0000,Top
C47,1.0312mm,-3.2550mm,0.0000,Top
C48,8.8900mm,-17.7800mm,90.0000,Top
C49,13.1762mm,-6.5350mm,90.0000,Top
C50,13.1762mm,-4.4450mm,-90.0000,Top
C51,13.1762mm,-10.9537mm,-90.0000,Top
D1,-4.9212mm,14.6050mm,180.0000,Top
D2,-13.6750mm,-8.1750mm,0.0000,Bottom
D3,-6.3500mm,19.8438mm,90.0000,Top
D4,0.6350mm,19.8438mm,90.0000,Top
D5,7.6200mm,20.0025mm,90.0000,Top
D6,-7.9375mm,19.8438mm,90.0000,Bottom
D7,-0.9525mm,19.8438mm,90.0000,Bottom
D8,7.4612mm,19.8438mm,90.0000,Bottom
D9,-3.9688mm,18.7325mm,180.0000,Top
D10,2.8575mm,18.8912mm,180.0000,Top
D11,9.8425mm,18.8912mm,180.0000,Top
D12,-6.0325mm,-12.8000mm,-90.0000,Top
DS1,-7.1437mm,0.7937mm,90.0000,Top
DS2,5.2387mm,-20.6375mm,180.0000,Top
L1,-4.9212mm,8.5725mm,-90.0000,Top
P1,-10.6362mm,16.3513mm,90.0000,Top
P2,-10.6362mm,2.6987mm,90.0000,Top
Q1,-4.9212mm,25.5387mm,180.0000,Top
Q2,2.0637mm,25.5587mm,180.0000,Top
Q3,9.0488mm,25.5387mm,180.0000,Top
Q4,-4.9212mm,25.5587mm,180.0000,Bottom
Q5,2.0637mm,25.5587mm,180.0000,Bottom
Q6,9.0488mm,25.5788mm,180.0000,Bottom
R1,1.5875mm,0.4762mm,90.0000,Top
R2,-2.0637mm,2.3813mm,90.0000,Top
R3,-0.6350mm,3.0162mm,-90.0000,Top
R4,-2.0637mm,-0.9525mm,90.0000,Top
R5,3.1712mm,0.4801mm,-90.0000,Top
R6,3.4925mm,13.6525mm,90.0000,Top
R7,7.0287mm,-1.4287mm,0.0000,Top
R8,3.6950mm,-1.4287mm,0.0000,Top
R9,12.0625mm,0.5055mm,-90.0000,Top
R10,13.1737mm,0.5055mm,-90.0000,Top
R11,-7.1437mm,-1.5875mm,90.0000,Top
R12,-13.8338mm,-3.4125mm,180.0000,Bottom
R13,-13.8338mm,-5.3175mm,0.0000,Bottom
R14,-7.4612mm,19.8438mm,90.0000,Top
R15,-0.4762mm,19.8438mm,90.0000,Top
R16,6.5088mm,20.0025mm,90.0000,Top
R17,-2.9375mm,20.2637mm,90.0000,Top
R18,3.9688mm,20.4787mm,90.0000,Top
R19,10.9537mm,20.4787mm,90.0000,Top
R20,-6.8262mm,19.8438mm,90.0000,Bottom
R21,0.1588mm,19.8438mm,90.0000,Bottom
R22,8.5725mm,19.8438mm,90.0000,Bottom
R23,-4.1275mm,17.6212mm,-90.0000,Bottom
R24,2.8575mm,17.6212mm,-90.0000,Bottom
R25,-4.0488mm,20.2637mm,-90.0000,Top
R26,2.8575mm,20.4787mm,-90.0000,Top
R27,9.8425mm,20.4787mm,-90.0000,Top
R28,-13.4137mm,24.5275mm,-90.0000,Top
R29,-14.5250mm,24.5275mm,-90.0000,Top
R31,-13.4937mm,-6.3500mm,90.0000,Top
R32,-10.7950mm,-6.3500mm,180.0000,Top
R33,-8.2550mm,-6.3500mm,90.0000,Top
R34,-14.1288mm,-8.8900mm,90.0000,Top
R35,-2.3813mm,-11.5887mm,-90.0000,Top
R36,-3.5525mm,-11.6100mm,-90.0000,Top
R37,7.7787mm,-17.7800mm,90.0000,Top
R38,-1.2700mm,-11.5887mm,-90.0000,Top
R39,7.7787mm,-20.1612mm,-90.0000,Top
U1,0.2350mm,2.7588mm,0.0000,Top
U2,-4.9212mm,-2.0637mm,-90.0000,Top
U3,-1.9000mm,6.1660mm,180.0000,Bottom
U4,-10.8750mm,-11.3513mm,90.0000,Top
U5,-2.5400mm,-14.4462mm,0.0000,Top
U6,6.0522mm,-9.2818mm,90.0000,Top
USB1,-1.9000mm,-24.4475mm,0.0000,Top
X1,5.3087mm,-17.7800mm,0.0000,Top
